$i$,$p_i$,$w_i$,In Sack
1,7,0.1,0
2,74,0.9,0
3,24,0.7,0
4,94,0.2,1
5,57,0.9,0
6,58,0.3,1
7,19,0.8,0
8,4,0.3,0
9,14,0.8,0
10,32,1,0
11,24,0.7,0
12,86,1,1
13,69,0.4,1
14,73,0.9,0
15,94,0.5,1
16,17,0.1,1
17,7,0.1,0
18,45,0.4,1
19,34,0.7,0
20,35,0.7,0
21,3,0.2,0
22,85,0.3,1
23,42,0.8,0
24,38,0.8,0
25,6,0.8,0
26,44,0.7,0
27,79,0.9,0
28,8,0.8,0
29,92,0.5,1
30,29,0.3,1
31,85,0.9,1
32,94,0.1,1
33,18,0.2,0
34,5,0.8,0
35,62,0.7,1
36,33,0.6,0
37,99,0.6,1
38,76,0.3,1
39,27,0.6,0
40,57,0.2,1
41,55,0.9,0
42,87,0.2,1
43,91,0.1,1
44,88,0.3,1
45,53,0.3,1
46,72,0.1,1
47,80,0.2,1
48,4,0.5,0
49,71,1,0
50,13,0.5,0
51,1,0.9,0
52,26,0.3,0
53,59,0.9,0
54,7,0.3,0
55,19,0.9,0
56,80,0.1,1
57,88,0.7,1
58,93,0.6,1
59,79,0.1,1
60,3,0.8,0
61,48,0.7,0
62,34,0.4,0
63,82,0.9,1
64,33,0.4,0
